BEAMS
BinSize:0.625,Temperature:39.500K,Field:0.000G,Sample:nano-Mn3O4,Orientation:powder,NumBins:16384,NumHists:5,RunNumber:7387,Title:nano-Mn3O4 zero field
Forward,Backward,Up,Down,Right
1146,1649,2175,2095,342
1211,1709,2132,2106,356
1244,1714,2156,2058,349
1193,1737,2109,2034,331
1177,1764,2121,2012,361
1252,1677,2195,2035,337
1184,1656,2103,2015,374
1217,1668,2147,1990,363
1206,1669,2192,2036,354
1143,1716,2230,2059,343
1207,1703,2100,2055,356
1199,1744,2084,1955,373
1225,1639,2159,1951,313
1177,1733,2151,1996,317
1200,1680,2164,2053,342
1153,1701,2128,1956,333
1194,1699,2105,1987,349
1263,1694,2126,2012,378
1210,1682,2136,2091,360
1175,1711,2214,1967,359
1243,1727,2218,1957,368
1222,1694,1993,1969,356
1167,1732,2159,1954,341
1177,1728,2140,1983,342
1166,1712,2146,1926,328
1169,1740,2129,2027,357
1208,1755,2144,1956,353
1220,1666,2175,2038,370
1287,1724,2071,2016,325
1266,1671,2104,1978,319
1214,1721,2137,2049,320
1244,1650,2220,2042,333
1212,1690,2176,2013,338
1212,1636,2144,1924,325
1156,1677,2178,2014,355
1198,1712,2234,2042,340
1164,1723,2182,1966,336
1179,1625,2150,2001,373
1245,1652,2090,2001,354
1162,1731,2149,1985,352
1153,1701,2063,2011,330
1196,1661,2123,1983,340
1159,1747,2079,2045,381
1237,1671,2119,2020,377
1220,1645,2193,1963,352
1269,1630,2127,2042,367
1200,1687,2117,1993,335
1169,1631,2182,2128,368
1254,1680,2082,2035,353
1215,1667,2181,2021,341
1201,1642,2116,2004,315
1218,1646,2162,1937,369
1251,1654,2128,2019,356
1118,1726,2089,2028,353
1146,1696,2040,1989,377
1199,1736,2122,2044,367
1198,1664,2108,1970,327
1170,1691,2179,2020,381
1174,1667,2167,2023,347
1221,1715,2084,1979,376
1183,1623,2162,1930,324
1193,1631,2136,2029,313
1204,1736,2045,2019,317
1224,1697,2083,1929,330
1161,1690,2030,2039,344
1200,1685,2150,2068,348
1242,1668,2114,2002,383
1170,1637,2107,2082,364
1217,1692,2013,2005,341
1162,1674,2149,2059,331
1197,1652,2155,2001,326
1237,1668,2126,2042,349
1234,1567,2043,2019,358
1177,1655,2154,2014,387
1170,1595,2168,1934,340
1186,1661,2116,2038,367
1165,1627,2110,2013,354
1253,1720,2105,2029,348
1242,1630,2127,2029,338
1271,1674,2080,2027,332
1221,1585,2105,2123,345
